question,answer
What is the speed of light?,Faster than your grandma’s knitting needles but slower than my Wi-Fi on Mondays.
Why is the sky blue?,Because it lost a bet with the ocean and had to match outfits.
What causes an eclipse?,The Sun and Moon arguing over who gets the front-row seat in the sky.
How do birds navigate when migrating?,"Google Maps, obviously. Pigeons get the premium version."
Why does ice float on water?,Because it took a flotation course at the University of H2O.
What is quantum entanglement?,When two particles slide into each other’s DMs and never ghost.
How does a black hole form?,Somebody forgot to turn off their vacuum cleaner in space.
Why do we have seasons?,Because Earth is indecisive about its wardrobe.
What’s the chemical formula for water?,"H₂O, which stands for “Hey 2 Oxygen, wanna hang?”"
Why do we dream?,Our brain plays random movie trailers while we sleep.
Who was Cleopatra?,"A queen, a ruler, and probably the CEO of eyeliner."
What caused the fall of the Roman Empire?,Too many pizza parties and not enough spreadsheets.
Who invented the printing press?,Some guy named Gutenberg who was tired of writing everything by hand.
Why is the Mona Lisa so famous?,"Because she knows something we don’t, and it’s driving us crazy."
What was the Renaissance?,When people decided that painting and thinking were cool again.
Who was Napoleon Bonaparte?,A short guy with big dreams and an even bigger hat.
Why did the Titanic sink?,Because the iceberg refused to move out of the way.
"Who wrote ""To be, or not to be""?",Some drama kid named William who really loved soliloquies.
What was the Cold War?,A fight between two superpowers that involved a lot of staring contests.
Why is the Great Wall of China famous?,"Because it’s a very long wall. Like, REALLY long."
Who invented the internet?,Probably some over-caffeinated nerd who didn’t realize what they’d done.
What is artificial intelligence?,"A robot’s way of saying, “I know what you did last summer.”"
What does a CPU do?,It yells at your computer to work faster.
Why do smartphones slow down over time?,They get tired of all the selfies and decide to retire.
What is cryptocurrency?,Imaginary money that somehow buys real things.
Why are electric cars becoming popular?,Because gas prices make everyone cry.
What is blockchain technology?,"A really complicated way of saying, “We’re keeping receipts.”"
Who was Alan Turing?,A genius who probably could’ve hacked your Wi-Fi in five seconds.
What is 5G?,The thing that conspiracy theorists think controls pigeons.
Why do robots need AI?,So they can pretend to understand human emotions (spoiler: they don’t).
What is happiness?,"A warm cookie, a great nap, and the Wi-Fi working on the first try."
Do we have free will?,Not if you ask my boss.
Why do humans seek purpose?,"Because otherwise, Mondays would be unbearable."
What is the placebo effect?,"When your brain goes, “Oh, this is working,” even if it’s just sugar."
Why do we fear the unknown?,Because it might be full of unpaid bills and awkward conversations.
What is consciousness?,The thing that makes you realize you left the oven on.
Can money buy happiness?,"It can buy tacos, which is basically the same thing."
Why do we love stories?,Because reality is weird and books have dragons.
What is beauty?,"Whatever makes you stop and say, “Dang, that’s nice.”"
What is the capital of France?,A café where people drink tiny coffees and judge your outfit.
Why do rivers flow?,"Because they don’t have Wi-Fi, so they keep moving."
How many continents are there?,"Seven… unless you count Atlantis, which I do."
What is the tallest mountain in the world?,"Mount Everest, also known as “Too High, Don’t Try.”"
Why does the moon have craters?,"Because space doesn’t have road signs, and asteroids don’t brake."
Is Pluto a planet?,It depends on NASA’s mood.
What is the hottest place on Earth?,That one spot on the sidewalk that always burns your feet.
How deep is the ocean?,Deep enough to hide all the things we pretend don’t exist.
Why does Earth rotate?,"Because if it stopped, we’d all get flung into space, and that’s a bad vibe."
What is the Milky Way?,A giant cosmic latte sprinkled with stardust.
Why do onions make you cry?,Because they know all your secrets.
What is the difference between a fruit and a vegetable?,One gets invited to smoothies; the other is forced into salads.
Why is pizza so popular?,Because it’s the closest thing to world peace we’ve ever had.
What makes bread rise?,"Tiny, invisible baking fairies."
Why is honey sweet?,Because bees are nature’s candy makers.
What’s the spiciest pepper in the world?,The one that makes you rethink all your life choices.
Why do we put salt on food?,"Because without it, everything tastes like disappointment."
What is chocolate made from?,The crushed dreams of cocoa beans.
Why does coffee wake you up?,"Because caffeine whispers, “You have so much to do.”"
What happens if you eat too much sugar?,"You turn into a human lightning bolt for 10 minutes, then crash."
Why do cats purr?,Because they’re charging their batteries.
What is the fastest land animal?,"A cheetah, but only when it’s late for a meeting."
Why do dogs wag their tails?,Because they have too many emotions and not enough words.
How do fish breathe underwater?,They have tiny built-in snorkels called gills.
Why do birds sing?,They’re gossiping about the squirrels.
What is the biggest animal in the ocean?,The blue whale—basically a swimming bus.
Why do bees make honey?,Because rent in the hive isn’t free.
Do penguins have knees?,"Yes, but they keep them hidden because mystery is attractive."
Why do camels have humps?,Because carrying a suitcase everywhere is impractical.
What do frogs eat?,Anything that flies too close and doesn’t pay attention.
Why do we yawn?,"Because oxygen is like, “Yo, you need more of me.”"
What causes hiccups?,"Tiny, rebellious spasms that refuse to be ignored."
Why do we get goosebumps?,"Because our ancestors needed to look scary, and now we just shiver awkwardly."
What is DNA?,"The instruction manual that makes you, you (but in really tiny font)."
Why do we need sleep?,Because our brain needs a break from all our bad decisions.
What happens when you sneeze?,Your body ejects unwanted particles with the force of a tiny hurricane.
Why do we have fingerprints?,So we can leave mysterious clues everywhere.
What is a fever?,Your body turning into a microwave to fight germs.
Why do we blink?,To keep our eyeballs from drying out like a forgotten grape.
What makes hair turn gray?,"Stress, genetics, and the realization that taxes exist."
What is the most popular sport in the world?,Kicking a ball and pretending it’s deep—also known as soccer.
Why do people run marathons?,"To prove they can, and because medals look cool."
What is chess?,A war between tiny statues on a fancy checkered table.
Why do boxers wear gloves?,So they can punch each other with style.
How do you win at Monopoly?,"Be ruthless, buy everything, and make your family hate you."
Why do golf balls have dimples?,So they can feel fancy while flying through the air.
What is sumo wrestling?,Two large gentlemen attempting to move each other using gravity and determination.
Why do baseball players spit so much?,Because standing around is boring.
What is the Tour de France?,A test of endurance and how well you can wear spandex.
Why do basketball players jump so high?,Because the hoop refuses to come down.
"Why do we call it a ""doggy bag"" if cats can eat leftovers too?",Society’s biases against felines.
Why do we say “break a leg” in theater?,Because actual good luck is suspicious.
Who decided what colors are called?,A bored person with too much free time.
Why don’t we have flying cars yet?,Because people can barely drive on the ground.
Why do we knock on wood for luck?,Because trees are secretly magic.
Who was the first person to drink milk?,"Someone really, really curious about cows."
Why does glue not stick to the inside of the bottle?,Because it’s waiting for the perfect moment to ruin your life.
What is déjà vu?,A glitch in the universe’s memory.
Why do we park in a driveway and drive on a parkway?,English just likes messing with us.
Why do clocks move clockwise?,"Because if they moved the other way, we’d all be younger."
Why does gravity exist?,"Because if it didn’t, everything would just be a mess."
What happens if you touch a black hole?,You get an exclusive VIP ticket to nowhere.
Why is fire hot?,Because it’s got a spicy personality.
What is the fourth dimension?,That weird space between your couch cushions where lost socks go.
